iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
0,,,,,2,17.0285,96,,,,,2,19.0082,102,3.57034,6.8339,TRUE
1,Two-stage Gauss-Seidel,2,,0.8694,,,,,,,,1,19.6592,107,inf,inf,FALSE
2,MT Gauss-Seidel,2,1.0605,,,,,MT Gauss-Seidel,2,1.0134,,,,,4.350846,6.60502,TRUE
3,Two-stage Gauss-Seidel,1,,0.8767,,,,Two-stage Gauss-Seidel,4,,0.9642,,,,12.307802,14.6289,TRUE
4,MT Gauss-Seidel,2,0.8171,,,,,Two-stage Gauss-Seidel,2,,0.8714,,,,4.50854,6.77664,TRUE
5,Two-stage Gauss-Seidel,1,,0.8985,,,,MT Gauss-Seidel,1,1.1101,,,,,25.74616,29.558,TRUE
6,Two-stage Gauss-Seidel,2,,0.946,,,,MT Gauss-Seidel,1,0.9441,,,,,inf,inf,FALSE
7,,,,,2,12.7042,90,MT Gauss-Seidel,4,1.1332,,,,,3.260642,5.51821,TRUE
8,Two-stage Gauss-Seidel,2,,1.095,,,,MT Gauss-Seidel,2,1.0216,,,,,inf,inf,FALSE
9,Two-stage Gauss-Seidel,2,,1.0618,,,,,,,,3,17.5436,87,inf,inf,FALSE
10,MT Gauss-Seidel,1,1.1862,,,,,,,,,1,27.9491,103,9.30074,11.5974,TRUE
11,,,,,1,24.5821,99,MT Gauss-Seidel,4,1.0397,,,,,3.816161,6.07971,TRUE
12,,,,,2,15.0686,118,Two-stage Gauss-Seidel,2,,0.9525,,,,3.124063,5.3903,TRUE
13,,,,,1,27.824,110,MT Gauss-Seidel,4,0.9893,,,,,3.725463,6.0242,TRUE
14,,,,,1,20.9128,80,MT Gauss-Seidel,2,0.9219,,,,,3.75128,6.04139,TRUE
15,Two-stage Gauss-Seidel,2,,0.9752,,,,MT Gauss-Seidel,3,1.1867,,,,,inf,inf,FALSE
16,MT Gauss-Seidel,1,1.0263,,,,,,,,,1,14.5912,107,6.357704,8.64384,TRUE
17,MT Gauss-Seidel,1,1.0951,,,,,MT Gauss-Seidel,3,0.9805,,,,,4.402768,6.71036,TRUE
18,MT Gauss-Seidel,2,0.9285,,,,,,,,,2,17.8247,101,4.989393,7.28134,TRUE
19,,,,,1,24.1296,86,Two-stage Gauss-Seidel,4,,0.987,,,,3.73434,6.031,TRUE
20,Two-stage Gauss-Seidel,2,,1.1294,,,,MT Gauss-Seidel,1,0.9367,,,,,inf,inf,FALSE
21,Two-stage Gauss-Seidel,1,,1.1448,,,,,,,,1,12.3747,96,inf,inf,FALSE
22,Two-stage Gauss-Seidel,1,,1.1539,,,,Two-stage Gauss-Seidel,2,,0.8346,,,,inf,inf,FALSE
